  5.1729E-02  6.6002E-01
  1.0329E-01  6.5881E-01
  1.5450E-01  6.5618E-01
  2.0521E-01  6.5240E-01
  2.5524E-01  6.4771E-01
  3.0443E-01  6.4224E-01
  3.5263E-01  6.3609E-01
  3.9969E-01  6.2936E-01
  4.4546E-01  6.2214E-01
  4.8981E-01  6.1449E-01
  5.3261E-01  6.0640E-01
  5.7374E-01  5.9784E-01
  6.1311E-01  5.8872E-01
  6.5061E-01  5.7892E-01
  6.8617E-01  5.6830E-01
  7.1973E-01  5.5669E-01
  7.5122E-01  5.4382E-01
  7.8062E-01  5.2939E-01
  8.0792E-01  5.1299E-01
  8.3310E-01  4.9405E-01
  8.5619E-01  4.7198E-01
  8.7723E-01  4.4620E-01
  8.9628E-01  4.1614E-01
  9.1342E-01  3.8143E-01
  9.2877E-01  3.4202E-01
  9.4244E-01  2.9842E-01
  9.5460E-01  2.5172E-01
  9.6542E-01  2.0350E-01
  9.7512E-01  1.5545E-01
  9.8394E-01  1.0884E-01
  9.9213E-01  6.4221E-02
  1.0000E+00  2.1244E-02
