  0.000000E+00  5.0000E-02  1.7845E-03  5.3566E-01  9.9921E-01  3.0969E-11  9.9592E-01  8.7668E-01  4.3806E-01 -1.2473E-01 -1.0052E-01 -1.4884E-02 -3.0211E-02 -2.5010E-02 -1.2159E-02
  5.000000E-02  5.1606E-02  1.8005E-03  5.3475E-01  9.9919E-01  2.6867E-14  9.9529E-01  8.8051E-01  4.4343E-01 -1.2274E-01 -9.7686E-02 -1.3543E-02 -2.6210E-02 -2.2472E-02 -1.2265E-02
  1.016059E-01  7.7409E-02  1.8089E-03  5.3429E-01  9.9914E-01  2.5979E-14  9.9470E-01  8.8450E-01  4.4856E-01 -1.2073E-01 -9.4870E-02 -1.2471E-02 -2.2234E-02 -1.9926E-02 -1.2405E-02
  1.790147E-01  1.0000E-01  1.8173E-03  5.3381E-01  9.9901E-01  4.4853E-14  9.9398E-01  8.9065E-01  4.5580E-01 -1.1750E-01 -9.0565E-02 -1.1097E-02 -1.6417E-02 -1.6109E-02 -1.2605E-02
  2.790147E-01  1.0000E-01  1.8271E-03  5.3334E-01  9.9877E-01  1.1191E-13  9.9350E-01  8.9899E-01  4.6447E-01 -1.1278E-01 -8.4748E-02 -9.5262E-03 -9.0649E-03 -1.1085E-02 -1.2806E-02
  3.790147E-01  1.0000E-01  1.8372E-03  5.3296E-01  9.9847E-01  7.5495E-14  9.9364E-01  9.0781E-01  4.7242E-01 -1.0739E-01 -7.8692E-02 -8.1134E-03 -1.8583E-03 -5.9345E-03 -1.2936E-02
  4.790147E-01  1.0000E-01  1.8480E-03  5.3264E-01  9.9814E-01  5.0182E-14  9.9444E-01  9.1716E-01  4.7963E-01 -1.0138E-01 -7.2496E-02 -6.8386E-03  5.2033E-03 -6.8991E-04 -1.3002E-02
  5.790147E-01  1.0000E-01  1.8594E-03  5.3236E-01  9.9780E-01  6.4393E-14  9.9587E-01  9.2704E-01  4.8608E-01 -9.4768E-02 -6.6253E-02 -5.6958E-03  1.2100E-02  4.5735E-03 -1.3022E-02
  6.790147E-01  1.0000E-01  1.8714E-03  5.3210E-01  9.9746E-01  4.6629E-14  9.9780E-01  9.3744E-01  4.9180E-01 -8.7576E-02 -6.0032E-02 -4.6809E-03  1.8809E-02  9.7561E-03 -1.3020E-02
  7.790147E-01  1.0000E-01  1.8840E-03  5.3187E-01  9.9713E-01  4.3521E-14  1.0000E+00  9.4827E-01  4.9679E-01 -7.9807E-02 -5.3867E-02 -3.7891E-03  2.5317E-02  1.4754E-02 -1.3017E-02
